Datetime,Friday
17/04/2020 00:00,27
17/04/2020 00:05,25
17/04/2020 00:10,28
17/04/2020 00:15,28
17/04/2020 00:20,27
17/04/2020 00:25,27
17/04/2020 00:30,26
17/04/2020 00:35,26
17/04/2020 00:40,27
17/04/2020 00:45,27
17/04/2020 00:50,26
17/04/2020 00:55,25
17/04/2020 01:00,24
17/04/2020 01:05,26
17/04/2020 01:10,24
17/04/2020 01:15,24
17/04/2020 01:20,24
17/04/2020 01:25,22
17/04/2020 01:30,23
17/04/2020 01:35,22
17/04/2020 01:40,24
17/04/2020 01:45,25
17/04/2020 01:50,22
17/04/2020 01:55,23
17/04/2020 02:00,24
17/04/2020 02:05,24
17/04/2020 02:10,21
17/04/2020 02:15,23
17/04/2020 02:20,22
17/04/2020 02:25,23
17/04/2020 02:30,24
17/04/2020 02:35,22
17/04/2020 02:40,23
17/04/2020 02:45,22
17/04/2020 02:50,22
17/04/2020 02:55,21
17/04/2020 03:00,22
17/04/2020 03:05,49
17/04/2020 03:10,54
17/04/2020 03:15,68
17/04/2020 03:20,103
17/04/2020 03:25,127
17/04/2020 03:30,94
17/04/2020 03:35,75
17/04/2020 03:40,56
17/04/2020 03:45,57
17/04/2020 03:50,57
17/04/2020 03:55,91
17/04/2020 04:00,94
17/04/2020 04:05,93
17/04/2020 04:10,68
17/04/2020 04:15,57
17/04/2020 04:20,56
17/04/2020 04:25,57
17/04/2020 04:30,56
17/04/2020 04:35,56
17/04/2020 04:40,57
17/04/2020 04:45,57
17/04/2020 04:50,56
17/04/2020 04:55,56
17/04/2020 05:00,29
17/04/2020 05:05,19
17/04/2020 05:10,20
17/04/2020 05:15,20
17/04/2020 05:20,20
17/04/2020 05:25,20
17/04/2020 05:30,28
17/04/2020 05:35,53
17/04/2020 05:40,55
17/04/2020 05:45,54
17/04/2020 05:50,53
17/04/2020 05:55,53
17/04/2020 06:00,405
17/04/2020 06:05,432
17/04/2020 06:10,425
17/04/2020 06:15,412
17/04/2020 06:20,408
17/04/2020 06:25,402
17/04/2020 06:30,391
17/04/2020 06:35,389
17/04/2020 06:40,387
17/04/2020 06:45,382
17/04/2020 06:50,381
17/04/2020 06:55,372
17/04/2020 07:00,376
17/04/2020 07:05,363
17/04/2020 07:10,360
17/04/2020 07:15,357
17/04/2020 07:20,354
17/04/2020 07:25,356
17/04/2020 07:30,340
17/04/2020 07:35,313
17/04/2020 07:40,308
17/04/2020 07:45,313
17/04/2020 07:50,312
17/04/2020 07:55,304
17/04/2020 08:00,304
17/04/2020 08:05,310
17/04/2020 08:10,333
17/04/2020 08:15,334
17/04/2020 08:20,332
17/04/2020 08:25,334
17/04/2020 08:30,308
17/04/2020 08:35,310
17/04/2020 08:40,317
17/04/2020 08:45,321
17/04/2020 08:50,321
17/04/2020 08:55,320
17/04/2020 09:00,292
17/04/2020 09:05,282
17/04/2020 09:10,255
17/04/2020 09:15,237
17/04/2020 09:20,206
17/04/2020 09:25,200
17/04/2020 09:30,220
17/04/2020 09:35,211
17/04/2020 09:40,200
17/04/2020 09:45,192
17/04/2020 09:50,199
17/04/2020 09:55,220
17/04/2020 10:00,220
17/04/2020 10:05,188
17/04/2020 10:10,187
17/04/2020 10:15,198
17/04/2020 10:20,227
17/04/2020 10:25,222
17/04/2020 10:30,186
17/04/2020 10:35,194
17/04/2020 10:40,189
17/04/2020 10:45,190
17/04/2020 10:50,188
17/04/2020 10:55,191
17/04/2020 11:00,183
17/04/2020 11:05,182
17/04/2020 11:10,181
17/04/2020 11:15,179
17/04/2020 11:20,182
17/04/2020 11:25,180
17/04/2020 11:30,154
17/04/2020 11:35,145
17/04/2020 11:40,160
17/04/2020 11:45,177
17/04/2020 11:50,175
17/04/2020 11:55,148
17/04/2020 12:00,146
17/04/2020 12:05,149
17/04/2020 12:10,148
17/04/2020 12:15,146
17/04/2020 12:20,127
17/04/2020 12:25,106
17/04/2020 12:30,108
17/04/2020 12:35,116
17/04/2020 12:40,111
17/04/2020 12:45,71
17/04/2020 12:50,74
17/04/2020 12:55,71
17/04/2020 13:00,68
17/04/2020 13:05,71
17/04/2020 13:10,68
17/04/2020 13:15,71
17/04/2020 13:20,72
17/04/2020 13:25,66
17/04/2020 13:30,68
17/04/2020 13:35,69
17/04/2020 13:40,56
17/04/2020 13:45,49
17/04/2020 13:50,57
17/04/2020 13:55,47
17/04/2020 14:00,51
17/04/2020 14:05,52
17/04/2020 14:10,47
17/04/2020 14:15,48
17/04/2020 14:20,45
17/04/2020 14:25,48
17/04/2020 14:30,49
17/04/2020 14:35,47
17/04/2020 14:40,51
17/04/2020 14:45,48
17/04/2020 14:50,51
17/04/2020 14:55,48
17/04/2020 15:00,50
17/04/2020 15:05,50
17/04/2020 15:10,50
17/04/2020 15:15,48
17/04/2020 15:20,50
17/04/2020 15:25,49
17/04/2020 15:30,49
17/04/2020 15:35,47
17/04/2020 15:40,45
17/04/2020 15:45,46
17/04/2020 15:50,42
17/04/2020 15:55,44
17/04/2020 16:00,49
17/04/2020 16:05,48
17/04/2020 16:10,46
17/04/2020 16:15,45
17/04/2020 16:20,48
17/04/2020 16:25,45
17/04/2020 16:30,47
17/04/2020 16:35,46
17/04/2020 16:40,47
17/04/2020 16:45,79
17/04/2020 16:50,77
17/04/2020 16:55,81
17/04/2020 17:00,78
17/04/2020 17:05,43
17/04/2020 17:10,42
17/04/2020 17:15,42
17/04/2020 17:20,42
17/04/2020 17:25,43
17/04/2020 17:30,41
17/04/2020 17:35,42
17/04/2020 17:40,44
17/04/2020 17:45,40
17/04/2020 17:50,40
17/04/2020 17:55,42
17/04/2020 18:00,43
17/04/2020 18:05,44
17/04/2020 18:10,41
17/04/2020 18:15,42
17/04/2020 18:20,42
17/04/2020 18:25,43
17/04/2020 18:30,44
17/04/2020 18:35,44
17/04/2020 18:40,40
17/04/2020 18:45,38
17/04/2020 18:50,39
17/04/2020 18:55,36
17/04/2020 19:00,38
17/04/2020 19:05,38
17/04/2020 19:10,36
17/04/2020 19:15,36
17/04/2020 19:20,36
17/04/2020 19:25,38
17/04/2020 19:30,35
17/04/2020 19:35,37
17/04/2020 19:40,35
17/04/2020 19:45,36
17/04/2020 19:50,37
17/04/2020 19:55,35
17/04/2020 20:00,39
17/04/2020 20:05,39
17/04/2020 20:10,37
17/04/2020 20:15,36
17/04/2020 20:20,34
17/04/2020 20:25,36
17/04/2020 20:30,40
17/04/2020 20:35,39
17/04/2020 20:40,20
17/04/2020 20:45,21
17/04/2020 20:50,19
