Datetime,Saturday
18/04/2020 00:00,16
18/04/2020 00:05,18
18/04/2020 00:10,17
18/04/2020 00:15,19
18/04/2020 00:20,17
18/04/2020 00:25,17
18/04/2020 00:30,15
18/04/2020 00:35,17
18/04/2020 00:40,15
18/04/2020 00:45,19
18/04/2020 00:50,15
18/04/2020 00:55,16
18/04/2020 01:00,17
18/04/2020 01:05,16
18/04/2020 01:10,18
18/04/2020 01:15,16
18/04/2020 01:20,16
18/04/2020 01:25,15
18/04/2020 01:30,17
18/04/2020 01:35,16
18/04/2020 01:40,16
18/04/2020 01:45,16
18/04/2020 01:50,15
18/04/2020 01:55,16
18/04/2020 02:00,15
18/04/2020 02:05,16
18/04/2020 02:10,16
18/04/2020 02:15,17
18/04/2020 02:20,16
18/04/2020 02:25,15
18/04/2020 02:30,17
18/04/2020 02:35,15
18/04/2020 02:40,16
18/04/2020 02:45,17
18/04/2020 02:50,16
18/04/2020 02:55,16
18/04/2020 03:00,15
18/04/2020 03:05,16
18/04/2020 03:10,15
18/04/2020 03:15,16
18/04/2020 03:20,15
18/04/2020 03:25,15
18/04/2020 03:30,15
18/04/2020 03:35,15
18/04/2020 03:40,15
18/04/2020 03:45,15
18/04/2020 03:50,15
18/04/2020 03:55,15
18/04/2020 04:00,15
18/04/2020 04:05,15
18/04/2020 04:10,16
18/04/2020 04:15,19
18/04/2020 04:20,15
18/04/2020 04:25,17
18/04/2020 04:30,15
18/04/2020 04:35,15
18/04/2020 04:40,15
18/04/2020 04:45,14
18/04/2020 04:50,15
18/04/2020 04:55,15
18/04/2020 05:00,15
18/04/2020 05:05,15
18/04/2020 05:10,16
18/04/2020 05:15,15
18/04/2020 05:20,16
18/04/2020 05:25,28
18/04/2020 05:30,22
18/04/2020 05:35,29
18/04/2020 05:40,15
18/04/2020 05:45,15
18/04/2020 05:50,15
18/04/2020 05:55,27
18/04/2020 06:00,183
18/04/2020 06:05,163
18/04/2020 06:10,151
18/04/2020 06:15,158
18/04/2020 06:20,157
18/04/2020 06:25,151
18/04/2020 06:30,151
18/04/2020 06:35,148
18/04/2020 06:40,149
