Datetime,Sunday
19/04/2020 00:00,1
19/04/2020 00:05,2
19/04/2020 00:10,1
19/04/2020 00:15,2
19/04/2020 00:20,1
19/04/2020 00:25,1
19/04/2020 00:30,1
19/04/2020 00:35,2
19/04/2020 00:40,1
19/04/2020 00:45,1
19/04/2020 01:05,1
19/04/2020 01:10,1
19/04/2020 01:15,1
19/04/2020 01:35,2
19/04/2020 01:55,1
19/04/2020 02:35,1
19/04/2020 02:45,1
19/04/2020 03:00,1
19/04/2020 03:15,1
19/04/2020 03:35,1
19/04/2020 03:40,3
19/04/2020 04:05,33
19/04/2020 04:10,34
19/04/2020 04:15,34
19/04/2020 04:20,29
19/04/2020 04:25,27
19/04/2020 04:30,26
19/04/2020 04:35,25
19/04/2020 04:40,24
19/04/2020 04:45,22
19/04/2020 04:50,22
19/04/2020 04:55,38
19/04/2020 05:00,31
19/04/2020 05:05,19
19/04/2020 05:10,23
19/04/2020 05:15,17
19/04/2020 05:20,24
19/04/2020 05:25,27
19/04/2020 05:30,18
19/04/2020 05:35,16
19/04/2020 05:40,16
19/04/2020 05:45,14
19/04/2020 05:50,12
19/04/2020 05:55,18
19/04/2020 06:00,99
19/04/2020 06:05,94
19/04/2020 06:10,123
19/04/2020 06:15,121
19/04/2020 06:20,105
19/04/2020 06:25,91
19/04/2020 06:30,78
19/04/2020 06:35,69
19/04/2020 06:40,61
19/04/2020 06:45,55
19/04/2020 06:50,56
19/04/2020 06:55,56
19/04/2020 07:00,54
19/04/2020 07:05,64
19/04/2020 07:10,79
19/04/2020 07:15,87
19/04/2020 07:20,77
19/04/2020 07:25,80
19/04/2020 07:30,74
19/04/2020 07:35,82
19/04/2020 07:40,70
19/04/2020 07:45,78
19/04/2020 07:50,70
19/04/2020 07:55,68
19/04/2020 08:00,107
19/04/2020 08:05,107
19/04/2020 08:10,70
19/04/2020 08:15,66
19/04/2020 08:20,64
19/04/2020 08:25,75
19/04/2020 08:30,98
19/04/2020 08:35,96
19/04/2020 08:40,97
19/04/2020 08:45,100
19/04/2020 08:50,97
19/04/2020 08:55,104
19/04/2020 09:00,95
19/04/2020 09:05,94
19/04/2020 09:10,97
19/04/2020 09:15,94
